"Label (Grouping)","Congressional District 3 (116th Congress), Minnesota!!Total!!Estimate","Congressional District 3 (116th Congress), Minnesota!!Total!!Margin of Error","Congressional District 3 (116th Congress), Minnesota!!Percent!!Estimate","Congressional District 3 (116th Congress), Minnesota!!Percent!!Margin of Error","Congressional District 3 (116th Congress), Minnesota!!Male!!Estimate","Congressional District 3 (116th Congress), Minnesota!!Male!!Margin of Error","Congressional District 3 (116th Congress), Minnesota!!Percent Male!!Estimate","Congressional District 3 (116th Congress), Minnesota!!Percent Male!!Margin of Error","Congressional District 3 (116th Congress), Minnesota!!Female!!Estimate","Congressional District 3 (116th Congress), Minnesota!!Female!!Margin of Error","Congressional District 3 (116th Congress), Minnesota!!Percent Female!!Estimate","Congressional District 3 (116th Congress), Minnesota!!Percent Female!!Margin of Error"
"        50 to 54 years","54,645","±2,293","7.5%","±0.3","26,593","±1,357","7.5%","±0.4","28,052","±1,475","7.6%","±0.4"
"        55 to 59 years","55,855","±3,407","7.7%","±0.5","28,372","±2,019","8.0%","±0.5","27,483","±2,133","7.4%","±0.6"
"        60 to 64 years","48,307","±2,815","6.7%","±0.4","22,936","±1,677","6.5%","±0.5","25,371","±1,898","6.8%","±0.5"
"        65 to 69 years","39,584","±2,826","5.5%","±0.4","18,078","±1,691","5.1%","±0.5","21,506","±1,732","5.8%","±0.5"
"        70 to 74 years","27,695","±2,363","3.8%","±0.3","12,970","±1,492","3.7%","±0.4","14,725","±1,589","4.0%","±0.4"
"        75 to 79 years","21,705","±2,387","3.0%","±0.3","9,829","±1,366","2.8%","±0.4","11,876","±1,611","3.2%","±0.4"
"        80 to 84 years","13,223","±1,747","1.8%","±0.2","4,935","±885","1.4%","±0.3","8,288","±1,342","2.2%","±0.4"
"        85 years and over","12,476","±1,766","1.7%","±0.2","5,668","±1,206","1.6%","±0.3","6,808","±1,149","1.8%","±0.3"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","95,959","±4,020","13.3%","±0.5","48,403","±2,564","13.7%","±0.7","47,556","±2,709","12.8%","±0.7"
"        15 to 17 years","31,027","±1,871","4.3%","±0.3","15,463","±1,345","4.4%","±0.4","15,564","±1,500","4.2%","±0.4"
"        Under 18 years","171,423","±5,221","23.7%","±0.7","86,269","±3,108","24.4%","±0.9","85,154","±3,492","23.0%","±0.8"
"        18 to 24 years","44,628","±3,186","6.2%","±0.4","22,875","±2,321","6.5%","±0.6","21,753","±2,207","5.9%","±0.6"
"        15 to 44 years","260,916","±5,374","36.0%","±0.6","129,788","±3,617","36.7%","±0.8","131,128","±3,836","35.4%","±0.8"
"        16 years and over","572,756","±6,051","79.1%","±0.7","277,144","±4,909","78.5%","±0.9","295,612","±4,058","79.7%","±0.8"
"        18 years and over","552,571","±5,644","76.3%","±0.7","267,001","±4,559","75.6%","±0.9","285,570","±3,952","77.0%","±0.8"
"        21 years and over","534,384","±5,302","73.8%","±0.7","257,671","±4,361","72.9%","±0.9","276,713","±3,892","74.6%","±0.9"
"        60 years and over","162,990","±4,385","22.5%","±0.6","74,416","±2,507","21.1%","±0.7","88,574","±2,905","23.9%","±0.8"
"        62 years and over","142,717","±4,405","19.7%","±0.6","64,823","±2,625","18.3%","±0.7","77,894","±2,856","21.0%","±0.8"
"        65 years and over","114,683","±3,705","15.8%","±0.5","51,480","±2,030","14.6%","±0.6","63,203","±2,538","17.0%","±0.7"
"        75 years and over","47,404","±2,302","6.5%","±0.3","20,432","±1,162","5.8%","±0.3","26,972","±1,785","7.3%","±0.5"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","40.4","±0.6","(X)","(X)","39.3","±0.6","(X)","(X)","41.8","±0.9","(X)","(X)"
"        Sex ratio (males per 100 females)","95.3","±1.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","65.3","±1.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","26.2","±1.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","39.1","±1.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
