"Label (Grouping)","Congressional District 3 (115th Congress), Minnesota!!Total!!Estimate","Congressional District 3 (115th Congress), Minnesota!!Total!!Margin of Error","Congressional District 3 (115th Congress), Minnesota!!Percent!!Estimate","Congressional District 3 (115th Congress), Minnesota!!Percent!!Margin of Error","Congressional District 3 (115th Congress), Minnesota!!Male!!Estimate","Congressional District 3 (115th Congress), Minnesota!!Male!!Margin of Error","Congressional District 3 (115th Congress), Minnesota!!Percent Male!!Estimate","Congressional District 3 (115th Congress), Minnesota!!Percent Male!!Margin of Error","Congressional District 3 (115th Congress), Minnesota!!Female!!Estimate","Congressional District 3 (115th Congress), Minnesota!!Female!!Margin of Error","Congressional District 3 (115th Congress), Minnesota!!Percent Female!!Estimate","Congressional District 3 (115th Congress), Minnesota!!Percent Female!!Margin of Error"
"    18 years and over","545,216","±5,900","76.3%","±0.6","262,146","±4,399","75.4%","±0.8","283,070","±4,255","77.2%","±0.8"
"    21 years and over","527,316","±6,115","73.8%","±0.6","251,387","±4,588","72.3%","±0.9","275,929","±4,103","75.3%","±0.8"
"    60 years and over","160,244","±4,708","22.4%","±0.7","72,579","±2,624","20.9%","±0.7","87,665","±3,181","23.9%","±0.9"
"    62 years and over","137,978","±4,112","19.3%","±0.6","62,442","±2,451","18.0%","±0.7","75,536","±2,838","20.6%","±0.8"
"    65 years and over","110,401","±3,595","15.5%","±0.5","49,186","±1,984","14.1%","±0.6","61,215","±2,446","16.7%","±0.7"
"    75 years and over","44,887","±2,222","6.3%","±0.3","18,112","±1,181","5.2%","±0.3","26,775","±1,479","7.3%","±0.4"
"SUMMARY INDICATORS","","","","","","","","","","","",""
"    Median age (years)","40.4","±0.8","(X)","(X)","39.2","±0.7","(X)","(X)","41.9","±0.8","(X)","(X)"
"    Sex ratio (males per 100 females)","94.8","±2.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Age dependency ratio","64.3","±1.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","25.4","±1.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Child dependency ratio","38.9","±1.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","","","","","","","",""
"    Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Age","(X)","(X)","1.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
